GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Order Service,com.foodai.order.dto.request,UpdateOrderStatusRequest.UpdateOrderStatusRequestBuilder,16,30,0,0,0,1,2,5,2,5
Order Service,com.foodai.order.dto.request,CancelOrderRequest.CancelOrderRequestBuilder,6,21,0,0,0,1,1,4,1,4
Order Service,com.foodai.order.dto.request,CreateOrderRequest,533,160,126,0,0,19,67,33,4,33
Order Service,com.foodai.order.dto.request,AssignRiderRequest,131,40,30,0,0,7,19,9,4,9
Order Service,com.foodai.order.dto.request,RateOrderRequest.RateOrderRequestBuilder,6,21,0,0,0,1,1,4,1,4
Order Service,com.foodai.order.dto.request,CreateOrderRequest.CreateOrderRequestBuilder,93,57,0,0,0,1,12,6,12,6
Order Service,com.foodai.order.dto.request,AddCartItemRequest.AddCartItemRequestBuilder,60,68,0,0,0,1,7,9,7,9
Order Service,com.foodai.order.dto.request,ApplyCouponRequest.ApplyCouponRequestBuilder,4,14,0,0,0,1,1,3,1,3
Order Service,com.foodai.order.dto.request,UpdateCartItemRequest.UpdateCartItemRequestBuilder,11,16,0,0,0,1,2,3,2,3
Order Service,com.foodai.order.dto.request,UpdateOrderStatusRequest,165,50,38,0,0,8,23,11,4,11
Order Service,com.foodai.order.dto.request,InitiatePaymentRequest.InitiatePaymentRequestBuilder,26,39,0,0,0,1,3,6,3,6
Order Service,com.foodai.order.dto.request,UpdateCartItemRequest,98,30,22,0,0,6,15,7,4,7
Order Service,com.foodai.order.dto.request,RateOrderRequest,98,30,22,0,0,6,15,7,4,7
Order Service,com.foodai.order.dto.request,InitiateRefundRequest,232,70,54,0,0,10,31,15,4,15
Order Service,com.foodai.order.dto.request,DeliveryAddressDTO,496,150,118,0,0,18,63,31,4,31
Order Service,com.foodai.order.dto.request,VerifyPaymentRequest.VerifyPaymentRequestBuilder,8,28,0,0,0,1,1,5,1,5
Order Service,com.foodai.order.dto.request,DeliveryAddressDTO.DeliveryAddressDTOBuilder,72,65,0,0,0,1,9,8,9,8
Order Service,com.foodai.order.dto.request,AddCartItemRequest,463,140,110,0,0,17,59,29,4,29
Order Service,com.foodai.order.dto.request,CancelOrderRequest,98,30,22,0,0,6,15,7,4,7
Order Service,com.foodai.order.dto.request,InitiatePaymentRequest,232,70,54,0,0,10,31,15,4,15
Order Service,com.foodai.order.dto.request,CartItemCustomizationDTO,221,37,46,0,2,7,33,7,10,7
Order Service,com.foodai.order.dto.request,InitiateRefundRequest.InitiateRefundRequestBuilder,21,44,0,0,0,1,2,7,2,7
Order Service,com.foodai.order.dto.request,AssignRiderRequest.AssignRiderRequestBuilder,8,28,0,0,0,1,1,5,1,5
Order Service,com.foodai.order.dto.request,CartItemCustomizationDTO.CartItemCustomizationDTOBuilder,13,42,0,0,0,1,1,7,1,7
Order Service,com.foodai.order.dto.request,ApplyCouponRequest,65,20,14,0,0,5,11,5,4,5
Order Service,com.foodai.order.dto.request,VerifyPaymentRequest,131,40,30,0,0,7,19,9,4,9
Order Service,com.foodai.order,OrderApplication,8,0,0,0,3,0,2,0,2,0
Order Service,com.foodai.order.controller,CartController,17,118,0,0,3,25,1,9,1,9
Order Service,com.foodai.order.controller,PaymentController,0,163,0,0,0,35,0,11,0,11
Order Service,com.foodai.order.controller,OrderController,53,174,0,0,8,35,2,12,2,12
Order Service,com.foodai.order.domain.model,DeliveryAddressVO.DeliveryAddressVOBuilder,32,105,0,0,0,1,1,16,1,16
Order Service,com.foodai.order.domain.model,OrderType,0,45,0,0,0,8,0,1,0,1
Order Service,com.foodai.order.domain.model,OrderItem,772,124,155,1,20,19,104,22,26,22
Order Service,com.foodai.order.domain.model,CartItem,616,166,132,6,6,28,86,26,19,24
Order Service,com.foodai.order.domain.model,Order.OrderBuilder,168,229,3,9,0,1,19,25,16,22
Order Service,com.foodai.order.domain.model,OrderTimelineEntryVO,222,37,46,0,2,7,33,7,10,7
Order Service,com.foodai.order.domain.model,Cart,656,306,144,22,7,63,99,39,23,32
Order Service,com.foodai.order.domain.model,OrderTotalVO,483,155,103,15,0,33,67,24,15,17
Order Service,com.foodai.order.domain.model,OrderTimelineEntryVO.OrderTimelineEntryVOBuilder,19,37,0,0,0,1,2,6,2,6
Order Service,com.foodai.order.domain.model,RefundStatus,0,33,0,0,0,6,0,1,0,1
Order Service,com.foodai.order.domain.model,RefundType,0,57,0,0,0,10,0,1,0,1
Order Service,com.foodai.order.domain.model,Refund.RefundBuilder,45,115,1,1,0,1,3,16,2,16
Order Service,com.foodai.order.domain.model,PaymentStatus,0,57,0,0,0,10,0,1,0,1
Order Service,com.foodai.order.domain.model,OrderItem.OrderItemBuilder,60,138,0,4,0,1,4,19,4,17
Order Service,com.foodai.order.domain.model,OrderItemCustomizationVO.OrderItemCustomizationVOBuilder,13,42,0,0,0,1,1,7,1,7
Order Service,com.foodai.order.domain.model,Refund,611,121,128,2,7,23,86,21,22,20
Order Service,com.foodai.order.domain.model,Payment,827,155,168,0,15,28,118,24,34,24
Order Service,com.foodai.order.domain.model,CartItemCustomization.CartItemCustomizationBuilder,13,42,0,0,0,1,1,7,1,7
Order Service,com.foodai.order.domain.model,Order,1397,502,303,23,18,101,196,68,39,62
Order Service,com.foodai.order.domain.model,PaymentMethod,0,45,0,0,0,8,0,1,0,1
Order Service,com.foodai.order.domain.model,OrderItemCustomizationVO,221,37,46,0,2,7,33,7,10,7
Order Service,com.foodai.order.domain.model,CartItem.CartItemBuilder,35,142,0,6,0,1,1,20,1,17
Order Service,com.foodai.order.domain.model,OrderStatus,0,69,0,0,0,12,0,1,0,1
Order Service,com.foodai.order.domain.model,OrderItemStatus,0,33,0,0,0,6,0,1,0,1
Order Service,com.foodai.order.domain.model,OrderTotalVO.OrderTotalVOBuilder,36,91,0,0,0,1,1,14,1,14
Order Service,com.foodai.order.domain.model,DeliveryAddressVO,601,167,138,12,6,30,94,17,19,17
Order Service,com.foodai.order.domain.model,CartItemCustomization,221,37,46,0,2,7,33,7,10,7
Order Service,com.foodai.order.domain.model,Payment.PaymentBuilder,91,144,3,5,0,1,11,16,8,15
Order Service,com.foodai.order.domain.model,Cart.CartBuilder,94,86,1,3,0,1,12,9,11,8
Order Service,com.foodai.order.config,KafkaConfig,57,0,0,0,25,0,7,0,7,0
Order Service,com.foodai.order.config,MongoConfig,3,0,0,0,1,0,1,0,1,0
Order Service,com.foodai.order.config,RedisConfig,81,0,0,0,22,0,3,0,3,0
Order Service,com.foodai.order.config,OpenApiConfig,53,0,0,0,18,0,2,0,2,0
Order Service,com.foodai.order.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
Order Service,com.foodai.order.mapper,CartMapperImpl,4,409,2,20,2,94,2,18,0,9
Order Service,com.foodai.order.mapper,PaymentMapperImpl,0,230,0,12,0,53,0,11,0,5
Order Service,com.foodai.order.mapper,OrderMapperImpl,15,813,3,35,4,185,3,31,0,15
Order Service,com.foodai.order.service,PaymentService,11,450,5,17,2,93,6,23,1,17
Order Service,com.foodai.order.service,CartService,95,320,11,5,23,59,13,15,5,14
Order Service,com.foodai.order.service,OrderService,256,521,14,14,48,115,17,19,7,15
Order Service,com.foodai.order.exception,CartNotFoundException,0,9,0,0,0,4,0,2,0,2
Order Service,com.foodai.order.exception,PaymentNotFoundException,0,4,0,0,0,2,0,1,0,1
Order Service,com.foodai.order.exception,PaymentFailedException,0,4,0,0,0,2,0,1,0,1
Order Service,com.foodai.order.exception,InvalidOrderStateException,0,4,0,0,0,2,0,1,0,1
Order Service,com.foodai.order.exception,OrderNotFoundException,10,4,2,0,4,2,2,1,1,1
Order Service,com.foodai.order.exception,GlobalExceptionHandler,22,113,0,0,8,36,2,10,2,10
Order Service,com.foodai.order.dto.response,RefundResponse,633,103,134,0,2,18,88,18,21,18
Order Service,com.foodai.order.dto.response,OrderItemCustomizationResponse,230,28,46,0,5,4,36,4,13,4
Order Service,com.foodai.order.dto.response,RefundResponse.RefundResponseBuilder,40,119,0,0,0,1,1,18,1,18
