GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Promotion Service,com.foodai.promotion.mapper,CouponMapper,23,0,8,0,3,0,7,0,3,0
Promotion Service,com.foodai.promotion.mapper,CouponMapperImpl,280,0,12,0,63,0,9,0,3,0
Promotion Service,com.foodai.promotion.mapper,CampaignMapperImpl,409,0,56,0,117,0,36,0,8,0
Promotion Service,com.foodai.promotion.mapper,PromotionMapper,86,0,12,0,33,0,12,0,6,0
Promotion Service,com.foodai.promotion.mapper,CampaignMapper,124,0,8,0,49,0,10,0,6,0
Promotion Service,com.foodai.promotion.mapper,CustomerSegmentMapper,95,0,4,0,35,0,4,0,2,0
Promotion Service,com.foodai.promotion.mapper,PromotionMapperImpl,588,0,94,0,192,0,64,0,17,0
Promotion Service,com.foodai.promotion.mapper,CustomerSegmentMapperImpl,141,0,6,0,34,0,6,0,3,0
Promotion Service,com.foodai.promotion.service,PromotionService,242,207,5,5,52,46,19,11,15,10
Promotion Service,com.foodai.promotion.service,CouponService,376,188,46,2,91,40,39,11,12,10
Promotion Service,com.foodai.promotion.service,CampaignService,576,0,4,0,131,0,28,0,26,0
Promotion Service,com.foodai.promotion.service,CustomerSegmentService,409,0,0,0,90,0,24,0,24,0
Promotion Service,com.foodai.promotion.infrastructure.messaging,PromotionEventConsumer,137,0,11,0,37,0,15,0,9,0
Promotion Service,com.foodai.promotion.infrastructure.messaging,PromotionEventPublisher,348,0,8,0,90,0,26,0,22,0
Promotion Service,com.foodai.promotion.domain.model,Coupon,1274,210,261,15,51,35,180,36,46,32
Promotion Service,com.foodai.promotion.domain.model,UsageLimitVO.UsageLimitVOBuilder,45,0,0,0,1,0,7,0,7,0
Promotion Service,com.foodai.promotion.domain.model,CouponUsage,452,0,78,0,22,0,65,0,26,0
Promotion Service,com.foodai.promotion.domain.model,PromotionStatus,0,45,0,0,0,8,0,1,0,1
Promotion Service,com.foodai.promotion.domain.model,SegmentCriteriaVO,791,0,154,0,31,0,117,0,40,0
Promotion Service,com.foodai.promotion.domain.model,ScheduleVO,346,49,70,8,11,7,57,6,18,6
Promotion Service,com.foodai.promotion.domain.model,Campaign,1366,0,224,0,79,0,192,0,80,0
Promotion Service,com.foodai.promotion.domain.model,ApplicabilityVO.ApplicabilityVOBuilder,105,0,0,0,1,0,13,0,13,0
Promotion Service,com.foodai.promotion.domain.model,CampaignStatus,45,0,0,0,8,0,1,0,1,0
Promotion Service,com.foodai.promotion.domain.model,Campaign.CampaignBuilder,339,0,16,0,1,0,37,0,29,0
Promotion Service,com.foodai.promotion.domain.model,DiscountVO.DiscountVOBuilder,49,0,0,0,1,0,7,0,7,0
Promotion Service,com.foodai.promotion.domain.model,Campaign.CampaignPerformance,380,0,44,0,22,0,55,0,33,0
Promotion Service,com.foodai.promotion.domain.model,Coupon.CouponBuilder,323,0,8,0,1,0,36,0,32,0
Promotion Service,com.foodai.promotion.domain.model,PromotionType,0,63,0,0,0,11,0,1,0,1
Promotion Service,com.foodai.promotion.domain.model,Campaign.CampaignPerformance.CampaignPerformanceBuilder,144,0,14,0,1,0,17,0,10,0
Promotion Service,com.foodai.promotion.domain.model,Promotion.PromotionBuilder,206,0,0,0,1,0,24,0,24,0
Promotion Service,com.foodai.promotion.domain.model,ChannelType,69,0,0,0,12,0,1,0,1,0
Promotion Service,com.foodai.promotion.domain.model,UsageLimitVO,276,0,50,0,21,0,45,0,20,0
Promotion Service,com.foodai.promotion.domain.model,DiscountVO,248,11,48,0,14,2,37,3,13,3
Promotion Service,com.foodai.promotion.domain.model,SegmentCriteriaVO.SegmentCriteriaVOBuilder,162,0,0,0,1,0,19,0,19,0
Promotion Service,com.foodai.promotion.domain.model,Campaign.CampaignCreative.CampaignCreativeBuilder,63,0,0,0,1,0,9,0,9,0
Promotion Service,com.foodai.promotion.domain.model,ApplicabilityVO,514,0,102,0,24,0,82,0,31,0
Promotion Service,com.foodai.promotion.domain.model,ScheduleVO.ScheduleVOBuilder,78,0,0,0,1,0,10,0,10,0
Promotion Service,com.foodai.promotion.domain.model,CustomerSegment,784,0,132,0,52,0,116,0,50,0
Promotion Service,com.foodai.promotion.domain.model,CampaignFrequency,33,0,0,0,6,0,1,0,1,0
Promotion Service,com.foodai.promotion.domain.model,Promotion,887,200,173,31,30,46,130,31,37,22
Promotion Service,com.foodai.promotion.domain.model,Campaign.CampaignCreative,287,0,50,0,10,0,44,0,19,0
Promotion Service,com.foodai.promotion.domain.model,CouponUsage.CouponUsageBuilder,93,0,0,0,1,0,12,0,12,0
Promotion Service,com.foodai.promotion.domain.model,CampaignType,57,0,0,0,10,0,1,0,1,0
Promotion Service,com.foodai.promotion.domain.model,CustomerSegment.CustomerSegmentBuilder,178,0,4,0,1,0,21,0,19,0
Promotion Service,com.foodai.promotion.controller,CouponController,58,117,0,0,12,27,4,10,4,10
Promotion Service,com.foodai.promotion.controller,CampaignController,207,0,0,0,45,0,16,0,16,0
Promotion Service,com.foodai.promotion.controller,CustomerSegmentController,205,0,0,0,47,0,16,0,16,0
Promotion Service,com.foodai.promotion.controller,PromotionController,30,161,0,0,7,38,2,13,2,13
