GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Restaurant Service,com.foodai.restaurant.domain.repository,RestaurantSearchRepositoryImpl,142,346,38,22,30,57,26,12,3,5
Restaurant Service,com.foodai.restaurant.exception,RestaurantAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
Restaurant Service,com.foodai.restaurant.exception,DocumentVerificationException,19,0,0,0,4,0,2,0,2,0
Restaurant Service,com.foodai.restaurant.exception,OutletNotFoundException,4,11,0,0,2,2,1,1,1,1
Restaurant Service,com.foodai.restaurant.exception,InvalidOutletStatusException,19,0,0,0,4,0,2,0,2,0
Restaurant Service,com.foodai.restaurant.exception,ApiErrorResponse.ApiErrorResponseBuilder,16,49,0,0,0,1,1,8,1,8
Restaurant Service,com.foodai.restaurant.exception,ApiErrorResponse,242,43,48,0,2,8,35,8,11,8
Restaurant Service,com.foodai.restaurant.exception,ServiceabilityException,19,0,0,0,4,0,2,0,2,0
Restaurant Service,com.foodai.restaurant.exception,GlobalExceptionHandler,142,208,0,0,43,63,5,9,5,9
Restaurant Service,com.foodai.restaurant.exception,InvalidRestaurantStatusException,15,4,0,0,2,2,1,1,1,1
Restaurant Service,com.foodai.restaurant.exception,RestaurantNotFoundException,4,11,0,0,2,2,1,1,1,1
Restaurant Service,com.foodai.restaurant.dto.response,OperatingHoursResponse.OperatingHoursResponseBuilder,48,0,0,0,1,0,7,0,7,0
Restaurant Service,com.foodai.restaurant.dto.response,OutletSearchResponse.AddressDTO,355,31,70,0,10,2,56,2,21,2
Restaurant Service,com.foodai.restaurant.dto.response,DocumentResponse.DocumentResponseBuilder,15,42,0,0,0,1,1,7,1,7
Restaurant Service,com.foodai.restaurant.dto.response,ServiceabilityResponse,345,0,62,0,11,0,52,0,21,0
Restaurant Service,com.foodai.restaurant.dto.response,DocumentResponse,223,37,46,0,2,7,33,7,10,7
Restaurant Service,com.foodai.restaurant.dto.response,OutletResponse.OutletResponseBuilder,234,0,0,0,1,0,27,0,27,0
Restaurant Service,com.foodai.restaurant.dto.response,AddressResponse.AddressResponseBuilder,72,0,0,0,1,0,10,0,10,0
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantResponse,859,139,182,0,2,24,118,24,27,24
Restaurant Service,com.foodai.restaurant.dto.response,ContactResponse.ContactResponseBuilder,24,77,0,0,0,1,1,12,1,12
Restaurant Service,com.foodai.restaurant.dto.response,TATConfigResponse,386,0,70,0,12,0,58,0,23,0
Restaurant Service,com.foodai.restaurant.dto.response,ApiResponse.ApiResponseBuilder,12,35,0,0,0,1,1,6,1,6
Restaurant Service,com.foodai.restaurant.dto.response,OutletSearchResponse,867,82,174,0,19,6,130,6,43,6
Restaurant Service,com.foodai.restaurant.dto.response,OutletSearchResponse.OutletSearchResponseBuilder,68,134,0,0,0,1,5,19,5,19
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantResponse.RestaurantResponseBuilder,56,161,0,0,0,1,1,24,1,24
Restaurant Service,com.foodai.restaurant.dto.response,TATResponse,173,0,30,0,7,0,28,0,13,0
Restaurant Service,com.foodai.restaurant.dto.response,OutletSearchResponse.AddressDTO.AddressDTOBuilder,18,63,0,0,0,1,1,10,1,10
Restaurant Service,com.foodai.restaurant.dto.response,TATResponse.TATResponseBuilder,38,0,0,0,1,0,6,0,6,0
Restaurant Service,com.foodai.restaurant.dto.response,OutletResponse,1083,0,198,0,28,0,154,0,55,0
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantSearchResponse,781,82,158,0,15,8,116,8,37,8
Restaurant Service,com.foodai.restaurant.dto.response,OwnerResponse,370,61,78,0,2,11,53,11,14,11
Restaurant Service,com.foodai.restaurant.dto.response,ContractResponse,636,103,134,0,2,18,88,18,21,18
Restaurant Service,com.foodai.restaurant.dto.response,ContractResponse.ContractResponseBuilder,43,119,0,0,0,1,1,18,1,18
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantSearchResponse.NearbyOutletDTO,275,25,54,0,8,2,44,2,17,2
Restaurant Service,com.foodai.restaurant.dto.response,TATConfigResponse.TATConfigResponseBuilder,81,0,0,0,1,0,11,0,11,0
Restaurant Service,com.foodai.restaurant.dto.response,ServiceabilityResponse.ServiceabilityResponseBuilder,74,0,0,0,1,0,10,0,10,0
Restaurant Service,com.foodai.restaurant.dto.response,OperatingHoursResponse,217,0,38,0,8,0,34,0,15,0
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantSearchResponse.RestaurantSearchResponseBuilder,44,140,0,0,0,1,1,21,1,21
Restaurant Service,com.foodai.restaurant.dto.response,AddressResponse,343,0,62,0,11,0,52,0,21,0
Restaurant Service,com.foodai.restaurant.dto.response,ApiResponse,183,53,34,0,8,18,27,8,10,8
Restaurant Service,com.foodai.restaurant.dto.response,RestaurantSearchResponse.NearbyOutletDTO.NearbyOutletDTOBuilder,14,49,0,0,0,1,1,8,1,8
Restaurant Service,com.foodai.restaurant.dto.response,OwnerResponse.OwnerResponseBuilder,22,70,0,0,0,1,1,11,1,11
Restaurant Service,com.foodai.restaurant.dto.response,ContactResponse,407,67,86,0,2,12,58,12,15,12
Restaurant Service,com.foodai.restaurant.dto.request,OwnerDTO.OwnerDTOBuilder,22,51,0,0,0,1,2,8,2,8
Restaurant Service,com.foodai.restaurant.dto.request,TATConfigDTO,386,0,70,0,12,0,58,0,23,0
Restaurant Service,com.foodai.restaurant.dto.request,SearchRestaurantRequest.SearchRestaurantRequestBuilder,34,162,0,10,0,1,1,22,1,17
Restaurant Service,com.foodai.restaurant.dto.request,CreateOutletRequest,520,0,94,0,15,0,76,0,29,0
Restaurant Service,com.foodai.restaurant.dto.request,OwnerDTO,264,80,62,0,0,11,35,17,4,17
Restaurant Service,com.foodai.restaurant.dto.request,PenaltyConfigDTO.PenaltyConfigDTOBuilder,90,0,0,0,1,0,12,0,12,0
