GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
User Service,com.foodai.user.config,RedisConfig,55,0,0,0,14,0,2,0,2,0
User Service,com.foodai.user.config,MongoConfig,3,0,0,0,1,0,1,0,1,0
User Service,com.foodai.user.config,OpenApiConfig,49,0,0,0,15,0,2,0,2,0
User Service,com.foodai.user.config,KafkaConfig,59,0,0,0,29,0,8,0,8,0
User Service,com.foodai.user.dto.response,DietaryPreferencesResponse.DietaryPreferencesResponseBuilder,176,0,0,0,1,0,21,0,21,0
User Service,com.foodai.user.dto.response,ChallengeProgressResponse,565,70,114,0,9,9,83,9,26,9
User Service,com.foodai.user.dto.response,NotificationPreferencesResponse.NotificationPreferencesResponseBuilder,137,0,0,0,1,0,17,0,17,0
User Service,com.foodai.user.dto.response,PersonalizationSettingsResponse,514,0,78,0,18,0,74,0,35,0
User Service,com.foodai.user.dto.response,ApiResponse,215,65,42,0,2,20,31,12,10,12
User Service,com.foodai.user.dto.response,ChallengeProgressResponse.ChallengeProgressResponseBuilder,34,105,0,0,0,1,1,16,1,16
User Service,com.foodai.user.dto.response,AddressResponse.AddressResponseBuilder,51,149,0,0,0,1,2,22,2,22
User Service,com.foodai.user.dto.response,NotificationPreferencesResponse,503,0,74,0,18,0,72,0,35,0
User Service,com.foodai.user.dto.response,ApiResponse.ApiResponseBuilder,30,46,2,2,0,1,5,5,3,5
User Service,com.foodai.user.dto.response,PersonalizationSettingsResponse.PersonalizationSettingsResponseBuilder,135,0,0,0,1,0,17,0,17,0
User Service,com.foodai.user.dto.response,UserResponse.UserResponseBuilder,77,224,0,0,0,1,1,33,1,33
User Service,com.foodai.user.dto.response,AddressResponse,788,133,166,0,2,23,109,23,26,23
User Service,com.foodai.user.dto.response,LoyaltyAccountResponse,931,151,198,0,2,26,128,26,29,26
User Service,com.foodai.user.dto.response,BadgeResponse,371,46,74,0,7,6,56,6,19,6
User Service,com.foodai.user.dto.response,AchievementResponse.AchievementResponseBuilder,18,56,0,0,0,1,1,9,1,9
User Service,com.foodai.user.dto.response,AchievementResponse,302,43,62,0,4,7,45,7,14,7
User Service,com.foodai.user.dto.response,DietaryPreferencesResponse,678,0,106,0,22,0,96,0,43,0
User Service,com.foodai.user.dto.response,UserResponse,1169,193,246,0,2,33,159,33,36,33
User Service,com.foodai.user.dto.response,BadgeResponse.BadgeResponseBuilder,21,70,0,0,0,1,1,11,1,11
User Service,com.foodai.user.dto.response,LoyaltyAccountResponse.LoyaltyAccountResponseBuilder,58,175,0,0,0,1,1,26,1,26
User Service,com.foodai.user.controller,LoyaltyController,0,130,0,0,0,28,0,10,0,10
User Service,com.foodai.user.controller,UserController,31,209,0,0,6,48,2,16,2,16
User Service,com.foodai.user.service,UserService,226,481,12,10,36,106,24,23,16,20
User Service,com.foodai.user.service,LoyaltyService,64,442,1,5,8,89,8,17,7,15
User Service,com.foodai.user.exception,UserAlreadyExistsException,0,6,0,0,0,2,0,1,0,1
User Service,com.foodai.user.exception,GlobalExceptionHandler,10,108,0,0,4,37,1,9,1,9
User Service,com.foodai.user.exception,UserNotFoundException,6,5,0,0,2,2,1,1,1,1
User Service,com.foodai.user.exception,LoyaltyAccountNotFoundException,6,5,0,0,2,2,1,1,1,1
User Service,com.foodai.user.dto.request,NotificationPreferencesDTO,666,109,142,0,2,19,93,19,22,19
User Service,com.foodai.user.dto.request,DietaryPreferencesDTO,742,121,158,0,2,21,103,21,24,21
